relative_path,document_number,filename,category,line,customer,file_type,parse_status,last_modified_utc,size_kb,sheet_count,is_obsolete,included_in_zip,requires_separate_upload,is_stale,platform_entity_map,mapping_confidence
8.2.2.2 Line 102 Operating Forms/Obsolete/Night Shift Cleaning 102.xlsx,,Night Shift Cleaning 102.xlsx,DOCUMENT CONTROL,Line 102,,xlsx,Readable,2023-06-09T17:13:07Z,11.0,1,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,8.2.2.3.2.1,8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,QUALITY INSPECTION,Customer-Specific,Rollstamp,xlsx,Readable,2026-02-17T14:12:11Z,15.2,1,False,True,False,False,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.29 BMW Inspection.xlsx,8.2.2.2.29,8.2.2.2.29 BMW Inspection.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2021-05-20T11:13:29Z,19.0,3,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla REVISED.xlsx,8.2.2.2.41,8.2.2.2.41 Tesla REVISED.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2024-05-10T18:54:12Z,14.3,2,True,False,False,False,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla.xlsx,8.2.2.2.41,8.2.2.2.41 Tesla.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-01-02T19:11:52Z,15.6,2,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection revised.xlsx,8.2.2.2.42,8.2.2.2.42 Tesla Buff Inspection revised.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-06-09T14:19:57Z,16.1,2,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection.xlsx,8.2.2.2.42,8.2.2.2.42 Tesla Buff Inspection.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-01-02T19:15:57Z,15.6,2,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.43 Tesla GP12 Inspection revised.xlsx,8.2.2.2.43,8.2.2.2.43 Tesla GP12 Inspection revised.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-06-09T13:59:17Z,14.6,2,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.43 Tesla GP12 Inspection.xlsx,8.2.2.2.43,8.2.2.2.43 Tesla GP12 Inspection.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-03-02T15:37:52Z,15.6,2,True,False,False,True,,
8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 BMW Inspection.xlsx,8.2.2.3.2.1,8.2.2.3.2.1 BMW Inspection.xlsx,DOCUMENT CONTROL,Customer-Specific,Rollstamp,xlsx,Readable,2023-10-26T12:07:48Z,19.6,3,True,False,False,True,,
